"contribution_id","debate_date","debate_title","debate_id","paragraphs","primary_info","secondary_info"
"08031193000235","1205193600","EuropeanUnion(Amendment)Bill",2,"If the Foreign Secretary is so proud of the text, why did the Government table 295 amendments to an almost identical earlier text, of which only 33 were successful, most of which dealt with comparatively trivial matters? The answer to the question that the hon. Member for Stroud (Mr. Drew) raised is that the Government opposed interference in health matters at the time, albeit without success. Can the Foreign Secretary explain why he is now defending a text that he previously rejected?","Mr David Heathcoat-Amory","Conservative"
"08031193000236","1205193600","EuropeanUnion(Amendment)Bill",2,"We tabled amendments on justice and home affairs, for example, precisely to ensure that our rights to choose on justice and home affairs—[Interruption.] There were not 295 amendments in respect of the health service. A lot of amendments were, rightly, tabled because it was important to secure our position. Let me take the justice and home affairs issue; in a way, it brings out better than any—","David Miliband","Labour"
"08031193000237","1205193600","EuropeanUnion(Amendment)Bill",2,"What about health?","Dr David Drew","Labour (Co-op)"
"08031193000238","1205193600","EuropeanUnion(Amendment)Bill",2,"I have answered the question on health. I assure my hon. Friend that this treaty text confirms a stronger UK position for deciding on our own health services than existed previously.  The Opposition say that they want sensible co-operation on justice and home affairs issues and who could deny our need for that, given that the European arrest warrant brought the 21/7 bomber to justice? There is no doubt that when it comes to tackling terrorism and organised crime, EU action to improve the exchange of information can play an important role.  Let us be clear about what the treaty chapter on justice and home affairs does. It will improve decision making because there is a move to qualified majority voting, and that will prevent one country from blocking an agreement—as happened recently, for example, in respect of allowing member states to transfer foreign national prisoners back to their home member state. The treaty will help make progress in areas of benefit to the UK—not just by combating international crime and terrorism, nor just by ensuring greater legal certainty, but by ensuring that at every stage the United Kingdom is not forced to participate in anything that we do not want to participate in.  Since 1999, we have opted into 42 immigration or asylum measures and 15 civil law measures—the so-called pillar 1—when that has been in our national interests. But we have not opted into 75 immigration or asylum measures and three civil law measures, because we decided that they were not in our interests. The treaty provides the flexibility to ensure that when something is not in our interests, we will be able to stand back. Measure by measure, we retain the right to choose. As the European Scrutiny Committee concluded, it was  “clear from the ‘opt-in’ arrangements that the United Kingdom is free to decide whether or not to take part…and to that extent is able to protect the distinctive features of the legal systems of the UK”.","David Miliband","Labour"
"08031193000242","1205193600","EuropeanUnion(Amendment)Bill",2,"rose—","Sir Malcolm Rifkind","Independent"
"08031193000243","1205193600","EuropeanUnion(Amendment)Bill",2,"I am happy to give way on that point.","David Miliband","Labour"
"08031193000244","1205193600","EuropeanUnion(Amendment)Bill",2,"The Foreign Secretary is entitled to say that in justice and home affairs, the Government can demonstrate flexibility—essentially, by working à la carte with Europe on that matter. Does he not draw the conclusion that that might be the basis on which, across a whole spectrum of EU policy, the United Kingdom could be comfortable in its EU membership in years to come, even if some member states wished to go much further towards integration?","Sir Malcolm Rifkind","Independent"
"08031193000245","1205193600","EuropeanUnion(Amendment)Bill",2,"I do not think that à la carte is the right approach when it comes to the single market, for example; I do not think that we can opt into some sectors and not others. However, if the right hon. and learned Gentleman is saying that there should be provision for enhanced co-operation in certain areas rather than others, as is being proposed in the treaty in respect of defence, that is sensible.","David Miliband","Labour"
"08031193000246","1205193600","EuropeanUnion(Amendment)Bill",2,"Before my right hon. Friend moves off criminal matters, may I remind him of article 82, paragraph 2 of the consolidated texts? It refers to minimum rules on co-operation in the criminal justice system and goes on to say:  “Adoption of the minimum rules referred to in this paragraph shall not prevent Member States from maintaining or introducing a higher level of protection for individuals.”  Is that not precisely what we want—so that our citizens, who may encounter criminal justice systems in any of the other 26 member states, have some minimum protection?","Rob Marris","Labour"
"08031193000248","1205193600","EuropeanUnion(Amendment)Bill",2,"I do not know how that article slipped my mind; my hon. Friend has made an important point.","David Miliband","Labour"
"08031193000249","1205193600","EuropeanUnion(Amendment)Bill",2,"Just now, the Foreign Secretary said that we had opted into 42 immigration and asylum measures, but had retained a choice. Will he confirm that when we have opted in, we do not retain a choice? We can never opt out; it is a one-way option with no chance of opting out in the light of experience.","Lord Lilley","Conservative"
"08031193000250","1205193600","EuropeanUnion(Amendment)Bill",2,"Mr. Speaker, unless—","David Miliband","Labour"
"08031193000251","1205193600","EuropeanUnion(Amendment)Bill",2,"Yes or no?","Lord Lilley","Conservative"
"08031193000252","1205193600","EuropeanUnion(Amendment)Bill",2,"It is not as simple as that. The right hon. Gentleman is right in that if the measure was not changed we could not opt out. However, as soon as the measure was amended, we would have the right to look at whether we wanted to opt into it.  On foreign policy, the Opposition have supported the Government’s actions in the western Balkans. As we have seen in the Balkans, Lebanon and Chad, the EU can play a role in promoting security and stability in neighbouring countries. It is not an alternative to UK foreign policy, but a means—and an important one—for its implementation.  As I said on 19 February, although the treaty will not change the fundamental nature of common foreign and security policy co-operation, it will enhance the efficiency, effectiveness and coherence of current arrangements. It will do so first by making the European Council—made up of the member states of the EU—responsible for setting the EU’s strategic priorities for all external action; secondly, by strengthening the coherence of the EU’s external action through a high representative, appointed by and accountable to member states, who replaces the current high representative and the Commissioner for External Affairs; and, thirdly, by bringing together existing Commission and Council officials, together with member state secondees, into a single External Action Service. All of that will bring real benefits.  On development, Europe is the world's biggest aid donor, providing more than 55 per cent. of total aid to more than 160 countries, and the Lisbon treaty will help ensure that, for the first time, that money is allocated in line with UK development policy. It makes it clear that EU development aid must have  “as its primary objective the reduction, and in the long term, the eradication of poverty”.  It will legally enshrine the principles of “impartiality”, “non-discrimination” and “neutrality” for the deployment of humanitarian aid. That will help ensure that humanitarian aid is delivered on the basis of need, not on the basis of politics or of geography.","David Miliband","Labour"
"08031193000257","1205193600","EuropeanUnion(Amendment)Bill",2,"Does my right hon. Friend believe that it would be particularly apposite if the House were to pass this Bill today, which is the 60th anniversary of the murder by defenestration of the democratic Czechoslovakian Prime Minister, Jan Masaryk, by the communist regime? Supporting the Bill today would be a symbol of the new Europe and the new European Union in which we are all united.","Mike Gapes","The Independent Group for Change"
"08031193000258","1205193600","EuropeanUnion(Amendment)Bill",2,"My hon. Friend draws an important link to the past. I did not know that, but I am very happy to agree that it would be apposite to act today as my hon. Friend suggests.","David Miliband","Labour"
"08031193000259","1205193600","EuropeanUnion(Amendment)Bill",2,"rose—","Sir Hugh Bayley","Labour"
"08031193000260","1205193600","EuropeanUnion(Amendment)Bill",2,"I will give way to my hon. Friend, but then I am going to make some progress.","David Miliband","Labour"
"08031193000261","1205193600","EuropeanUnion(Amendment)Bill",2,"The Conservative party says that it supports the Government policy that aid should be targeted at poverty alleviation, and the treaty requires all 27 member states to follow that policy. If the Tories vote it down tonight, they will be voting against a policy that they tell the public that they support.","Sir Hugh Bayley","Labour"
"08031193000262","1205193600","EuropeanUnion(Amendment)Bill",2,"My hon. Friend makes exactly the right point. Conservative Members say that they want to will the ends of a constructive, engaged and forward-looking Europe, but at every opportunity—at Amsterdam, at Nice and now with the Lisbon treaty—they vote against it.","David Miliband","Labour"
"08031193000263","1205193600","EuropeanUnion(Amendment)Bill",2,"rose—","Graham Stuart","Conservative"
"08031193000264","1205193600","EuropeanUnion(Amendment)Bill",2,"I am going to make some progress.  It is also worth explaining how the treaty will improve the accountability and transparency of EU business. A full-time Council president, appointed by the member states and answerable to them, will bring greater continuity and drive to delivering the agenda. Elected MEPs in the European Parliament have to approve EU legislation in more policy areas and, as was mentioned earlier, for the first time, national Parliaments get a direct say in making EU laws. If a majority of national Parliaments oppose a proposal and national Governments or MEPs agree, it falls.  Again for the first time, the treaty defines the EU’s competences, setting out where the EU can and cannot act and it underlines that the EU has only such competences as are expressly conferred on it by the member states through the treaties. Those are good things—[Interruption.] The hon. Member for Beverley and Holderness (Mr. Stuart) says from a sedentary position that there is hardly any power left in the nation state, but I do not know where he has been in the past 10 years. Actually, on further reflection, I do know where he has been—going through the Division Lobby voting against the things that the Government wanted to do.  As I was saying, the measures I have described are good things and they are capped by the agreement at the last European Council that institutional reform would be put on ice “for the foreseeable future”. No wonder that 27 Governments and 26 Oppositions have united to say that the treaty represents a valuable step forward and, above all—","David Miliband","Labour"
"08031193000268","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary give way?","Graham Stuart","Conservative"
"08031193000269","1205193600","EuropeanUnion(Amendment)Bill",2,"Well, I am in the middle of a sentence, so I would be grateful if the hon. Gentleman would at least let me finish it. The treaty represents a valuable step forward and, above all, a fair resting place for the institutional reform of the EU. The 26 Oppositions I mentioned excludes only one—the Conservative party opposite, stuck in the past and obsessed with myths about the EU.","David Miliband","Labour"
"08031193000270","1205193600","EuropeanUnion(Amendment)Bill",2,"The Foreign Secretary is speaking eloquently as usual, so can he explain why he has failed so spectacularly to convince the British people that pushing the treaty through the House is the appropriate way to move forward?","Graham Stuart","Conservative"
"08031193000271","1205193600","EuropeanUnion(Amendment)Bill",2,"I think that it is at general elections that we convince the British people and Labour has a pretty good record on that—[Interruption.]","David Miliband","Labour"
"08031193000273","1205193600","EuropeanUnion(Amendment)Bill",2,"Order. We must have calmness.","Lord Martin of Springburn","Crossbench"
"08031193000274","1205193600","EuropeanUnion(Amendment)Bill",2,"The Conservative party tried peddling its Europhobia at the 2001 general election, and we all know what happened then.","David Miliband","Labour"
"08031193000275","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary give way?","Mr Mark Harper","Conservative"
"08031193000276","1205193600","EuropeanUnion(Amendment)Bill",2,"No, I want to make this point, because— [Interruption.]","David Miliband","Labour"
"08030572000183","1204675200","EuropeanUnion(Amendment)Bill",3,"Before I call the right hon. Member for Richmond, Yorks (Mr. Hague) to move his amendment, may I say to the Committee that we will have a single debate on the amendments that have been selected? It is not usual for hon. Members to write in to signify a wish to speak in Committee, but a good number of colleagues have indicated such a wish to me, so I suspect that this will be a well-subscribed debate. As time limits cannot be imposed by the occupant of the Chair, I would appreciate it if right hon. and hon. Members took account of the fact that there is heavy demand today.  Clause 8  Commencement","Lord Haselhurst","Conservative"
"08030572000184","1204675200","EuropeanUnion(Amendment)Bill",3,"I beg to move amendment No. 293, page 4, leave out line 8 and insert—  ‘(2A) Section [Referendum] comes into force on Royal Assent.  (2B) The other provisions of this Act come into force if an affirmative answer has been given to the question asked in a referendum held in accordance with section [Referendum] and any legal challenge made under an order made under that section has been disposed of by the court or courts in question.’.","Lord Hague of Richmond","Conservative"
